date,open,high,low,close,ID,ticker
8/24/17,101.82,102.03,101.43,101.52,6976592,DIS
8/24/17,118.38,118.86,117.65,117.94,1034716,DLR
8/24/17,82.21,82.255,77.57,78.5,13435933,DLTR
8/24/17,84.71,84.895,84.15,84.2,607290,DOV
8/24/17,91.14,91.28,89.85,89.96,967487,DPS
8/24/17,29.62,29.72,29.32,29.33,1852567,DRE
8/24/17,83.66,83.89,82.36,82.38,1058979,DRI
8/24/17,111.83,112.15,111.66,111.74,463945,DTE
8/24/17,87.55,87.95,87.33,87.5,1828384,DUK
8/24/17,56.96,57.709,56.795,56.94,1261723,DVA
8/24/17,30.76,31.29,30.67,31.12,3820859,DVN
8/24/17,85.5,85.7971,84.93,85.03,1123512,DXC
8/24/17,79.22,79.63,79.06,79.45,2055978,D
8/24/17,118.49,118.92,116,117.82,1342750,EA
8/24/17,34.86,35.04,34.51,34.88,5778079,EBAY
8/24/17,130.78,131.2672,130.01,130.33,701884,ECL
8/24/17,84.24,84.54,84.03,84.23,845818,ED
8/24/17,141.23,141.23,140.15,140.38,221816,EFX
8/24/17,80.28,80.55,80.11,80.2,1189995,EIX
8/24/17,104.79,106.16,104.521,106.01,2510998,EL
8/24/17,84.36,85.13,84.17,84.82,809258,EMN
8/24/17,58.51,58.59,57.99,58.02,1523504,EMR
8/24/17,84.8,85.14,84.33,84.62,2007762,EOG
8/24/17,461.93,465.89,460.64,463.53,478844,EQIX
8/24/17,68.13,68.47,67.88,67.97,1484310,EQR
8/24/17,61.04,61.76,60.32,61.28,1100892,EQT
8/24/17,61.06,61.45,60.32,60.51,2546519,ESRX
8/24/17,267.61,268.59,266.24,266.41,396526,ESS
8/24/17,63.14,63.4,62.93,62.97,1394386,ES
8/24/17,40.73,41.08,40.54,40.94,2848549,ETFC
8/24/17,71.37,71.37,70.531,70.64,2530326,ETN
8/24/17,79.05,79.34,78.74,78.99,889980,ETR
8/24/17,50.95,51.56,50.69,50.82,1109929,EVHC
8/24/17,112.32,113.25,111.74,111.83,1366091,EW
8/24/17,38.31,38.51,38.13,38.34,5958665,EXC
8/24/17,55.16,55.16,54.7,54.95,572310,EXPD
8/24/17,149.31,151.87,149.31,149.94,1838562,EXPE
8/24/17,77.73,78.35,77.35,77.53,877327,EXR
8/24/17,41.32,41.62,40.91,41.15,2241232,FAST
8/24/17,62.72,62.85,62.31,62.46,754309,FBHS
8/24/17,168.88,169.29,166.41,167.74,14030420,FB
8/24/17,15.29,15.64,15.16,15.49,22765984,FCX
8/24/17,208.02,208.06,205.64,206.67,598170,FDX
8/24/17,32.89,32.98,32.64,32.67,2770799,FE
8/24/17,116.26,118.14,116.26,117.52,569811,FFIV
8/24/17,122.05,122.3,121.34,121.51,448741,FISV
8/24/17,91.58,91.58,91.05,91.25,1185190,FIS
8/24/17,26.71,26.91,26.6572,26.85,3691132,FITB
8/24/17,37.6,37.71,37.35,37.5,998225,FLIR
8/24/17,37.59,37.7,37.37,37.44,1483752,FLR
8/24/17,38.6,38.73,37.91,38.03,740502,FLS
8/24/17,35.6,36.27,34.73,34.77,7686783,FL
8/24/17,84.71,84.89,83.68,84.11,796227,FMC
